# old	new_repo	new_number	new_filename
# Generated from the Part I appendix of adr-migration-audit.md.
1	platform	1	0001-transactional-store-extensibility.md
2	platform	2	0002-module-storage-and-delivery-model.md
3	platform	3	0003-platform-as-execution-kernel.md
4	supervisor	1	0001-supervisor-as-host-manager.md
5	supervisor	2	0002-supervisor-guarantees-an-interface.md
6	supervisor	3	0003-supervisor-orchestrates-isolated-builds.md
7	platform	4	0004-static-go-module-composition.md
8	sdk	1	0001-sdk-as-public-contract-language.md
9	platform	5	0005-developer-platform-toolchain.md
10	platform	6	0006-test-harness-as-development-modules.md
11	platform	7	0007-platform-transports-events.md
12	platform	8	0008-capabilities-do-not-own-stores.md
13	platform	9	0009-object-graph.md
14	platform	10	0010-storage-authority-and-transaction-scope.md
15	platform	11	0011-open-and-closed-vocabularies.md
16	platform	12	0012-published-contract-surface.md
17	platform	13	0013-how-a-capability-acts.md
18	platform	14	0014-first-admin-bootstrap.md
19	platform	15	0015-module-capability-and-invocation.md
20	platform	16	0016-optional-module-composition.md
21	platform	17	0017-module-settings.md
22	architecture	1	0001-licensing.md
23	contracts	1	0001-server-driven-ui-and-the-shell.md
24	contracts	2	0002-primitives-and-definitions.md
25	contracts	3	0003-sdui-contract-repository.md
26	web	1	0001-react-sdui-runtime.md
27	sdk	2	0002-modules-as-typed-capability-providers.md
28	platform	18	0018-virtual-and-materialized-content.md
29	platform	19	0019-sdui-emit-side.md
30	platform	20	0020-artwork-proxy-and-cache.md
31	platform	21	0021-server-owned-app-shell.md
32	platform	22	0022-live-session-websocket.md
33	supervisor	4	0004-supervisor-driven-live-handover.md
34	sdk	3	0003-rich-metadata-preview.md
35	platform	23	0023-metadata-as-required-capability.md
36	platform	24	0024-capability-gated-affordances.md
37	module-stremio-addons	1	0001-completing-the-stremio-source-surface.md
38	sdk	4	0004-module-contributed-settings-ui.md
39	web	2	0002-server-owned-navigation.md
40	contracts	4	0004-server-delivered-definitions-and-skin.md
41	contracts	5	0005-cross-client-transport-two-lane-rpc.md
42	web	3	0003-frontend-workspace.md
43	architecture	2	0002-repository-naming-convention.md
44	contracts	6	0006-contracts-protobuf-workspace.md
45	platform	25	0025-playback-consumer-and-media-origin.md
46	platform	26	0026-playback-state-is-platform-owned.md
47	web	4	0004-player-as-client-primitive.md
48	platform	27	0027-stream-selection-against-a-client-profile.md
49	platform	28	0028-resolution-cache-and-capability-classes.md
50	platform	29	0029-probing-and-the-per-stream-playback-decision.md
51	module-stremio-addons	2	0002-modules-as-anti-corruption-layers.md
52	platform	30	0030-cache-first-rendering-and-source-health.md
53	platform	31	0031-telemetry-is-ambient-in-context.md
54	platform	32	0032-the-correlation-id-is-the-trace-id.md
55	platform	33	0033-instrument-at-the-seams.md
56	platform	34	0034-redaction-classes-are-the-pii-boundary.md
57	platform	35	0035-audit-is-a-store-not-a-log-stream.md
58	platform	36	0036-telemetry-storage-retention-and-expert-mode.md
59	sdk	5	0005-modules-observe-through-the-sdk.md
60	supervisor	5	0005-the-supervisor-observes-independently.md
61	platform	37	0037-one-client-transport.md
62	architecture	3	0003-two-module-tiers.md
63	platform	38	0038-platform-binary-built-by-ci.md
64	platform	39	0039-extension-module-boundary.md
65	platform	40	0040-module-distribution-and-trust.md
66	platform	41	0041-authorization-is-carried-in-the-type.md
67	platform	42	0042-three-authorization-mechanisms.md
68	platform	43	0043-one-principal-many-credentials.md
69	platform	44	0044-privilege-cannot-escalate.md
70	web	5	0005-the-web-player-is-the-browser.md
71	platform	45	0045-content-artwork-is-stored-on-the-node.md
72	module-cinemeta	1	0001-the-guaranteed-metadata-provider-needs-no-credential.md
73	platform	46	0046-stream-resolution-is-decoupled-from-metadata-provenance.md
74	platform	47	0047-artwork-is-a-candidate-set.md
75	sdk	6	0006-the-artwork-provider-role.md
76	module-aiostreams	1	0001-a-curated-stream-provider-beside-the-addon-host.md
77	sdk	7	0007-go-plugin-as-the-extension-harness.md
78	platform	48	0048-core-modules-keep-their-repositories.md
79	platform	49	0049-the-platform-manages-extension-modules.md
80	platform	50	0050-deployment-topologies.md
81	platform	51	0051-extension-installation-is-user-initiated-and-persistent.md
82	contracts	7	0007-components-are-authored-only-in-the-contract.md
83	contracts	8	0008-one-generated-sdui-vocabulary.md
84	platform	52	0052-vocabulary-negotiation-and-deliberate-degradation.md
85	contracts	9	0009-module-types-are-namespaced.md
86	contracts	10	0010-bindable-props.md
87	contracts	11	0011-state-scopes.md
88	contracts	12	0012-fields-and-forms.md
89	contracts	13	0013-validation-and-the-symmetric-rejection.md
90	web	6	0006-lifecycle-triggers-and-the-absent-telemetry-lane.md
91	contracts	14	0014-accessibility-in-the-contract.md
92	contracts	15	0015-focus-and-spatial-navigation.md
93	contracts	16	0016-lazy-lists.md
94	contracts	17	0017-the-conformance-corpus.md
95	contracts	18	0018-the-generated-vocabulary-reference.md
96	contracts	19	0019-retiring-value.md
97	platform	53	0053-the-pre-session-tree.md
98	platform	54	0054-claiming-an-unclaimed-server.md
99	platform	55	0055-the-development-module-repository.md
100	platform	56	0056-browse-roles-rank-their-providers.md
101	platform	57	0057-the-pre-session-bootstrap.md
102	platform	58	0058-the-session-credential-is-a-bearer-pair.md
103	platform	59	0059-one-library-many-viewers.md
104	platform	60	0060-the-library-is-built-from-rules.md
105	architecture	4	0004-project-credentials-in-official-builds.md
106	platform	61	0061-the-pre-session-action-lane.md
107	platform	62	0062-the-platform-keeps-what-a-source-told-it.md
108	platform	63	0063-the-origin-is-a-pipe-only-where-it-must-be.md
109	platform	64	0064-the-transcoded-stream-is-segmented.md
110	platform	65	0065-the-segment-length-is-measured.md
111	platform	66	0066-the-playlist-is-a-nominal-grid.md
112	platform	67	0067-language-is-a-persons-preference.md
113	platform	68	0068-subtitles-are-a-rendition.md
114	platform	69	0069-a-subtitle-track-has-a-form.md
115	platform	70	0070-a-styled-subtitle-goes-to-the-client.md
116	platform	71	0071-a-preference-is-a-default-an-override-is-a-sitting.md
117	platform	72	0072-the-subtitles-role-gets-a-consumer.md
118	platform	73	0073-playing-something-unowned-adds-it.md
119	platform	74	0074-operational-findings-are-durable-state.md
120	platform	75	0075-the-children-listen-on-unix-sockets.md
121	supervisor	6	0006-two-supervised-images-and-a-diy-path.md
122	platform	76	0076-the-signing-key-hierarchy.md
123	supervisor	7	0007-the-supervisor-answers-the-platforms-client-surface.md
124	supervisor	8	0008-artefacts-are-paired-by-contract-major.md
125	supervisor	9	0009-major-upgrades-are-never-automatic.md
126	supervisor	10	0010-before-1-0-the-caution-window-shifts-by-one.md
127	supervisor	11	0011-the-monitored-version-is-the-contract-not-the-artefact.md
128	sdk	8	0008-opentelemetry-is-the-telemetry-implementation.md
